Borough,Community Board,School Type,School Name / ID,Address,Postcode,Latitude,Longitude,Council District,Census Tract,BIN,BBL,NTA,GEOID,STATE,COUNTY,TRACT,BLOCK
Bronx,1,Public,P.S. 157 GROVE HILL,757 Caudwell Avenue,10456,40.819258,-73.908553,17,75,2004464,2026250001,Melrose South-Mott Haven North,36005007500,36,005,007500,2004
Bronx,2,Public,P.S. 60 (New School #2),888 Rev James A. Polite Avenue,10459,40.820403,-73.898912,17,87,2005348,2026960085,Longwood                                                                   ,36005008700,36,005,008700,1001
Bronx,3,Public,HARRIET TUBMAN CHARTER SCHOOL,3565 3rd Avenue,10456,40.83201,-73.905392,16,145,2001331,2023730014,Claremont-Bathgate                                                         ,36005014500,36,005,014500,3000
Bronx,3,Public,P.S. 132 GARRETT A. MORGAN SCHOOL,1245 Washington Avenue,10456,40.831827,-73.906607,16,145,2001619,2023900001,Claremont-Bathgate                                                         ,36005014500,36,005,014500,3001
Bronx,3,Public,P.S. 140 EAGLE SCHOOL,916 Eagle Avenue,10456,40.823289,-73.907948,17,185,2004469,2026270009,Morrisania-Melrose                                                         ,36005018502,36,005,018502,4003
Bronx,4,Public,FAMILY LIFE ACADEMY CHARTER SCHOOL,14 West 170th Street,10452,40.840421,-73.918293,16,219,2008292,2028560029,Highbridge                                                                 ,36005021900,36,005,021900,1005
Bronx,4,Public,GRAND CONCOURSE ADADEMY CHARTER SCHOOL,116 East 169th Street,10452,40.836965,-73.917383,16,22102,2002858,2024660011,West Concourse                                                             ,36005022102,36,005,022102,3002
Bronx,4,Public,JHS 166 ROBERTO CLEMENTE SCHOOL,250 East 164 Street,10456,40.828696,-73.917668,16,18302,2002497,2024460043,East Concourse-Concourse Village                                           ,36005018302,36,005,018302,2000
Bronx,4,Public,P.S. 64 PURA BELPRE SCHOOL,1425 Walton Avenue,10452,40.840096,-73.915569,16,223,2008098,2028430040,West Concourse                                                             ,36005022300,36,005,022300,2001
Bronx,4,Public,P.S.  88 S. SILVERSTEIN LITTLE SPARROW SCHOOL,1340 Sheridan Avenue,10456,40.837275,-73.913574,16,17902,2094533,2028300017,East Concourse-Concourse Village                                           ,36005017902,36,005,017902,1001
Bronx,4,Public,P.S. 170,1598 Townsend Avenue,10452,40.844316,-73.913604,14,22702,2103870,2028470041,Mount Hope                                                                 ,36005022702,36,005,022702,1004
Bronx,4,Public,P.S./I.S. 218 R. HERNANDEZ DUAL LANGUAGE MAGNET,1220 Gerard Avenue,10452,40.835847,-73.920026,16,197,2097130,2024800008,West Concourse                                                             ,36005019700,36,005,019700,2000
Bronx,5,Public,GREAT EXPECTATIONS SCHOOL,2400 Marion Avenue,10458,40.8591,-73.894946,15,38302,2011054,2030240021,Fordham South                                                              ,36005038303,36,005,038303,2000
Bronx,5,Public,P.S. 163 ARTHUR ALONSO SCHOMBERG,2075 Webster Avenue,10457,40.851741,-73.898493,15,379,2013297,2031420048,Mount Hope                                                                 ,36005037900,36,005,037900,3000
Bronx,5,Public,P.S. 28 MOUNT HOPE SCHOOL,1861 Anthony Avenue,10457,40.848057,-73.903522,15,23302,2007603,2028040031,Mount Hope                                                                 ,36005023302,36,005,023302,1001
Bronx,5,Public,P.S. 315 LAB SCHOOL,2246 Jerome Avenue,10453,40.857842,-73.904202,14,239,2014062,2031860049,Fordham South                                                              ,36005023900,36,005,023900,2001
Bronx,6,Public,J.H.S. 45 THOMAS C. GIORDANO SCHOOL,2502 Lorillard Place,10458,40.859034,-73.886913,15,387,2011937,2030670001,Belmont                                                                    ,36005038700,36,005,038700,1005
Bronx,6,Public,P.S. 159 LUIS MUMOZ MARIN BILING SCHOOL,2315 Washington Avenue,10458,40.855639,-73.892804,15,385,2094616,2030380065,Claremont-Bathgate                                                         ,36005038500,36,005,038500,2002
Bronx,6,Public,P.S. 23 THE NEW CHILDREN'S SCHOOL,2151 Washington Avenue,10457,40.85294,-73.894742,15,395,2090472,2030370079,Claremont-Bathgate                                                         ,36005039500,36,005,039500,1000
Bronx,6,Private,SAINT MARTIN OF TOURS SCHOOL,695 East 182 Street,10457,40.850666,-73.886996,15,391,2118254,2030840001,Belmont                                                                    ,36005039100,36,005,039100,1003
Bronx,7,Private,OUR LADY OF REFUGE SCHOOL,2708 Briggs Avenue,10458,40.866381,-73.89163,15,40501,2016851,2032940037,Bedford Park-Fordham North                                                 ,36005040501,36,005,040501,1001
Bronx,7,Public,P.S. 246 POE CENTER,2641 Grand Concourse,10468,40.865593,-73.894758,14,401,2013830,2031680027,Bedford Park-Fordham North                                                 ,36005040100,36,005,040100,2004
Bronx,7,Public,P.S. 340,25 West 195 Street,10468,40.869007,-73.89749,11,409,2101862,2032470015,Van Cortlandt Village                                                      ,36005040900,36,005,040900,1006
Bronx,7,Private,SAINT NICHOLAS OF TOLENTINE ELEMENTARY SCHOOL,2336 Andrews Avenue,10468,40.8622,-73.906662,14,255,2094688,2032180035,Kingsbridge Heights                                                        ,36005025500,36,005,025500,1000
Bronx,8,Public,SCIENCE SCHOOL FOR EXPLORATION & DISCOVERY,124 Eames Place,10468,40.869296,-73.901525,14,26701,2115783,2032480062,Van Cortlandt Village                                                      ,36005026701,36,005,026701,1002
Brooklyn,1,Private,BETH CHANA SCHOOL & ANNEX,712 Bedford Avenue,11206,40.699547,-73.957145,33,537,3392365,3022620024,Williamsburg                                                               ,36047053700,36,047,053700,2017
Brooklyn,1,Public,P.S. 380 JOHN WAYNE ELEMENTARY SCHOOL,370 Marcy Avenue,11206,40.702427,-73.952985,33,531,3061235,3022360009,Bedford                                                                    ,36047053101,36,047,053101,2002
Brooklyn,2,Private,BROOKLYN FRIENDS SCHOOL,375 Pearl Street,11201,40.692868,-73.988154,33,11,3000261,3001400106,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,36047001100,36,047,001100,1001
Brooklyn,2,Public,P.S. 38 THE PACIFIC SCHOOL,450 Pacific Street,11217,40.685264,-73.982639,33,39,3001183,3001910001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,36047003900,36,047,003900,2001
Brooklyn,2,Public,P.S. 753,510 Clermont Avenue,11238,40.682533,-73.968769,35,179,3057521,3020080001,Fort Greene                                                                ,36047017900,36,047,017900,1000
Brooklyn,3,Public,J.H.S. 258 DAVID RUGGLES JUNIOR HIGH SCHOOL,141 Macon Street,11216,40.681572,-73.945446,36,269,3053075,3018450001,Bedford                                                                    ,36047026900,36,047,026900,3000
Brooklyn,3,Public,P.S. 44 MARCUS GARVEY,432 Monroe Street,11221,40.686592,-73.940747,36,277,3051540,3018210001,Stuyvesant Heights                                                         ,36047027700,36,047,027700,3000
Brooklyn,3,Public,P.S. 308 CLARA CARDWELL SCHOOL,616 Quincy Street,11221,40.688695,-73.935499,36,293,3044493,3016300001,Stuyvesant Heights                                                         ,36047029300,36,047,029300,1001
Brooklyn,4,Public,P.S. 274 KOSCIUSKO SCHOOL,800 Bushwick Avenue,11221,40.694921,-73.927931,34,393,3073752,3032410037,Bushwick South                                                             ,36047039300,36,047,039300,3002
Brooklyn,5,Public,P.S. 13 ROBERTO CLEMENTE SCHOOL,557 Pennsylvania Avenue,11207,40.663673,-73.893754,42,1126,3085070,3038230001,East New York (Pennsylvania Ave)                                           ,36047112600,36,047,112600,2002
Brooklyn,7,Public,CHARLES O. DEWEY (I.S.136),4004 4th Avenue,11232,40.651977,-74.006862,38,82,3010580,3007130020,Sunset Park West                                                           ,36047008200,36,047,008200,3000
Brooklyn,7,Public,HELLENIC CHARTER SCHOOL,646 5th Avenue,11215,40.662646,-73.992085,38,143,3336795,3006340034,Park Slope-Gowanus                                                         ,36047014300,36,047,014300,2002
Brooklyn,7,Private,IMMACULATE HEART OF MARY SCHOOL,3002 Fort Hamilton Parkway,11218,40.648404,-73.978508,39,500,3123973,3053160001,Windsor Terrace                                                            ,36047050001,36,047,050001,1003
Brooklyn,7,Public,P.S. 1 BERGEN SCHOOL,309 47th Street,11220,40.649042,-74.012289,38,80,3011821,3007550022,Sunset Park West                                                           ,36047008000,36,047,008000,3001
Brooklyn,8,Private,DAVID GRAYSON CHRISTIAN ACADEMY,1237 Eastern Parkway,11213,40.668601,-73.927263,41,357,3037410,3013920073,Crown Heights North                                                        ,36047035701,36,047,035701,1003
Brooklyn,8,Private,EPIPHANY LUTHERAN ELEMENTARY SCHOOL,721 Lincoln Place,11216,40.670862,-73.952347,35,31702,3032263,3012540063,Crown Heights North                                                        ,36047031702,36,047,031702,3001
Brooklyn,9,Public,M.S. 61 GLADSTONE H. ATWELL SCHOOL,400 Empire Boulevard,11225,40.664007,-73.94922,40,329,3337872,3013160015,Prospect Lefferts Gardens-Wingate                                          ,36047032900,36,047,032900,3000
Brooklyn,9,Public,P.S. 221 TOSSAINT L'OUVERTURE,791 Empire Boulevard,11213,40.663701,-73.936049,35,355,3038372,3014230014,Crown Heights South                                                        ,36047035500,36,047,035500,3001
Brooklyn,10,Private,OUR LADY OF ANGELS SCHOOL,337-347 74th Street,11209,40.631898,-74.026398,43,66,3339304,3059180027,Bay Ridge                                                                  ,36047006600,36,047,006600,1001
Brooklyn,11,Public,P.S. 128 BENSONHURST SCHOOL/ BROOKLYN STUDIO SCHOOL,2075 84th Street,11214,40.604871,-73.995545,47,288,3165232,3063290032,Bensonhurst West                                                           ,36047028800,36,047,028800,1002
Brooklyn,12,Private,BNOS YERUSHALAYIM,600 Mcdonald Avenue,11218,40.639418,-73.978914,39,486,3125932,3053690006,Kensington-Ocean Parkway                                                   ,36047048600,36,047,048600,3001
Brooklyn,12,Public,J.H.S. 62 DITMAS JUNIOR HIGH SCHOOL,700 Cortelyou Road,11218,40.638686,-73.971651,40,490,3126842,3053910001,Kensington-Ocean Parkway                                                   ,36047049000,36,047,049000,1004
Brooklyn,12,Public,P.S. 226 ALFRED DE BARON MASON SCHOOL,6006 23rd Avenue,11204,40.615252,-73.97635,44,446,3172071,3065490024,Borough Park                                                               ,36047044600,36,047,044600,2004
Brooklyn,12,Public,P.S. 230 DORIS L. COHEN SCHOOL,1 Albemarle Road,11218,40.645017,-73.980761,39,498,3124109,3053230032,Kensington-Ocean Parkway                                                   ,36047049800,36,047,049800,1002
Brooklyn,12,Private,THE CHEDER SCHOOL,129 Elmwood Avenue,11230,40.627087,-73.975748,44,46201,3398191,3064990058,Flatbush                                                                   ,36047046201,36,047,046201,2002
Brooklyn,12,Private,YESHIVA TORAH VODAATH,425 East 9th Street,11218,40.638128,-73.969658,40,492,3126938,3053930079,Kensington-Ocean Parkway                                                   ,36047049200,36,047,049200,3000
Brooklyn,13,Public,P.S. 209 MARGARET MEAD SCHOOL,2609 East 7th Street,11235,40.586845,-73.96198,48,370,3196224,3072440001,Brighton Beach                                                             ,36047037000,36,047,037000,4000
Brooklyn,14,Public,ACADEMY OF HOSPITALITY AND TOURISM,911 Flatbush Avenue,11226,40.649787,-73.95855,40,794,3336215,3051030010,Erasmus                                                                    ,36047079400,36,047,079400,3000
Brooklyn,14,Public,P.S. 134,4001 18 Avenue,11218,40.63228,-73.973898,44,480,3127692,3054160048,Flatbush                                                                   ,36047048000,36,047,048000,1001
Brooklyn,15,Private,BNOS ISRAEL OF EAST FLATBUSH,1629 East 15th Street,11229,40.609678,-73.958445,48,552,3182439,3067780070,Madison                                                                    ,36047055200,36,047,055200,3001
Brooklyn,15,Private,SAINT EDMUND ELEMENTARY SCHOOL,1902 Avenue T,11229,40.601521,-73.95284,48,578,3336576,3073240001,Madison                                                                    ,36047057800,36,047,057800,2000
Brooklyn,16,Public,P.S. 41 WALTER F. WHITE SCHOOL,411 Thatford Avenue,11212,40.660306,-73.907355,42,918,3082389,3036040001,Brownsville                                                                ,36047091800,36,047,091800,1005
Brooklyn,16,Public,P.S. 165 IDA R. POSNER SCHOOL,76 Lott Avenue,11212,40.65744,-73.911053,42,896,3082726,3036220023,Brownsville                                                                ,36047089600,36,047,089600,2003
Brooklyn,16,Public,TEACHERS' PREP SECONDARY SCHOOL,226 Bristol Street,11212,40.665878,-73.911705,41,924,3081419,3035410001,Brownsville                                                                ,36047092400,36,047,092400,2002
Brooklyn,17,Private,EBENEZER PREPARATORY SCHOOL,5464 Kings Highway,11203,40.642036,-73.925437,45,846,3222149,3079290056,Rugby-Remsen Village                                                       ,36047084600,36,047,084600,2000
Brooklyn,17,Public,I.S. 232 WINTHROP INTERMEDIATE SCHOOL,905 Winthrop Street,11203,40.65843,-73.929076,41,880,3099733,3046060025,Prospect Lefferts Gardens-Wingate                                          ,36047088002,36,047,088002,1004
Brooklyn,17,Public,P.S. 135 SHELDON BROOKNER SCHOOL,684 Linden Boulevard,11203,40.65364,-73.933114,41,870,3102005,3046730001,East Flatbush-Farragut                                                     ,36047087000,36,047,087000,2003
Brooklyn,17,Public,P.S. 189 LINCOLN TERRACE SCHOOL,1100 East New York Avenue,11212,40.665565,-73.926246,41,892,3099537,3045990001,Brownsville                                                                ,36047089200,36,047,089200,1001
Brooklyn,17,Public,P.S. 208 ELSA EBELING SCHOOL,4801 Avenue D,11203,40.642031,-73.931151,45,840,3105680,3047690025,East Flatbush-Farragut                                                     ,36047084000,36,047,084000,1001
Brooklyn,17,Public,P.S. 244 RICHARD R. GREEN SCHOOL,5400 Tilden Avenue,11203,40.64842,-73.925977,45,946,3104513,3047390001,Rugby-Remsen Village                                                       ,36047094600,36,047,094600,1003
Brooklyn,17,Public,P.S. 268 EMMA LAZARUS SCHOOL,133 East 53rd Street,11203,40.657131,-73.928018,41,866,3100292,3046230028,Rugby-Remsen Village                                                       ,36047086600,36,047,086600,1004
Brooklyn,17,Public,P.S. 361,3109 Newkirk Avenue,11226,40.640066,-73.947253,45,830,3112334,3049650001,East Flatbush-Farragut                                                     ,36047083000,36,047,083000,1003
Brooklyn,17,Public,P.S. 398 WALTER WEAVER SCHOOL,60 East 94th Street,11212,40.663559,-73.926959,41,882,3323072,3045950015,Rugby-Remsen Village                                                       ,36047088200,36,047,088200,1000
Brooklyn,17,Private,SAINT CATHERINE OF GENOA SCHOOL,870 Albany Avenue,11203,40.652523,-73.939192,41,814,3381550,3048770001,East Flatbush-Farragut                                                     ,36047081400,36,047,081400,1005
Brooklyn,17,Private,SAINT STEPHEN'S LUTHERAN PAROCHIAL SCHOOL,2806 Newkirk Avenue,11226,40.639872,-73.950135,45,828,3120497,3052150037,Erasmus                                                                    ,36047082800,36,047,082800,2003
Brooklyn,18,Public,P.S. 207 ECC (ANNEX),3920 Flatlands Avenue,11234,40.621135,-73.935492,45,650,3337372,3078610025,Flatlands                                                                  ,36047065000,36,047,065000,1000
Queens,2,Private,RAZI SCHOOL,55-11 Queens Boulevard,11377,40.742129,-73.90972,26,251,4030990,4013250001,Woodside                                                                   ,36081025100,36,081,025100,3006
Queens,3,Public,I.S. 230,73-10 34th Avenue,11372,40.752866,-73.893193,25,289,4028931,4012600001,Jackson Heights                                                            ,36081028900,36,081,028900,1003
Queens,3,Public,P.S. 69 JACKSON HEIGHTS SCHOOL,77-02 37th Avenue,11372,40.749266,-73.888817,25,287,4029892,4012880001,Jackson Heights                                                            ,36081028700,36,081,028700,2001
Queens,3,Public,P.S. 92 HARRY T. STEWART SCHOOL,99-01 34th Avenue,11368,40.755418,-73.869017,21,377,4042496,4017140018,North Corona                                                               ,36081037700,36,081,037700,1002
Queens,3,Public,P.S. 148 RUBY ALLEN SCHOOL,89-02 32nd Avenue,11369,40.758377,-73.879089,25,339,4034841,4014190001,Jackson Heights                                                            ,36081033900,36,081,033900,2000
Queens,4,Public,P.S. 13,86-37 53rd Avenue,11373,40.735609,-73.878535,25,475,4064938,4028640036,Elmhurst                                                                   ,36081047500,36,081,047500,1009
Queens,4,Public,P.S. 16,41-15 104th Street,11368,40.748987,-73.86123,21,403,4048820,4019850001,North Corona                                                               ,36081040301,36,081,040301,1001
Queens,4,Private,SAINT BARTHOLOMEW SCHOOL,44-15 Judge Street,11373,40.742964,-73.877449,25,467,4439252,4015710019,Elmhurst                                                                   ,36081046700,36,081,046700,4002
Queens,4,Private,SAINT LEO SCHOOL,104-19 49th Avenue,11368,40.744482,-73.858608,21,415,4437347,4019920001,Corona                                                                     ,36081041500,36,081,041500,2001
Queens,5,Public,P.S. 88 SENECA SCHOOL,60-85 Catalpa Avenue,11385,40.703779,-73.896374,30,585,4085173,4035340012,Ridgewood                                                                  ,36081058500,36,081,058500,1003
Queens,5,Public,P.S. 239,1715 Weirfield Street,11385,40.699149,-73.903799,34,553,4435561,4035610001,Ridgewood                                                                  ,36081055300,36,081,055300,1001
Queens,7,Public,P.S. 20 JOHN BOWNE SCHOOL,142-30 Barclay Avenue,11355,40.758689,-73.824832,20,855,4114657,4050470001,Flushing                                                                   ,36081085500,36,081,085500,4002
