GEOID,NAME,population,white_race,black_race,asian_race,kids,school_kids,male_public_school,male_private_school,female_public_school,female_private_school,med_inc
36005000100,Census Tract 1; Bronx County; New York,4446,1898,2064,123,58,19,0,19,0,0,NA
36005000200,Census Tract 2; Bronx County; New York,4870,750,1473,299,822,999,478,195,291,35,115064
36005000400,Census Tract 4; Bronx County; New York,6257,790,1897,192,1383,1479,638,201,572,68,100553
36005001600,Census Tract 16; Bronx County; New York,6177,551,2292,148,1201,1543,664,71,743,65,41362
36005001901,Census Tract 19.01; Bronx County; New York,2181,466,1125,0,475,560,269,51,235,5,49500
36005001902,Census Tract 19.02; Bronx County; New York,1883,254,426,27,346,229,41,24,114,50,67375
36005001903,Census Tract 19.03; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,NA
36005001904,Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,NA
36005002001,Census Tract 20.01; Bronx County; New York,4461,565,2106,0,1351,1380,526,0,592,262,24684
36005002002,Census Tract 20.02; Bronx County; New York,3915,698,1146,0,688,560,311,60,163,26,NA
36005002300,Census Tract 23; Bronx County; New York,4528,490,1936,0,1221,1463,831,101,346,185,19743
36005002400,Census Tract 24; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,NA
36005002500,Census Tract 25; Bronx County; New York,5642,1051,1562,0,1310,1464,863,80,448,73,27378
36005002701,Census Tract 27.01; Bronx County; New York,3335,177,1242,16,1221,1083,424,20,572,67,21427
36005002702,Census Tract 27.02; Bronx County; New York,5000,214,1602,0,1304,1220,453,42,606,119,29206
36005002800,Census Tract 28; Bronx County; New York,5230,468,3463,0,705,990,374,63,448,105,64308
36005003100,Census Tract 31; Bronx County; New York,2559,434,977,326,733,798,402,7,342,47,41370
36005003300,Census Tract 33; Bronx County; New York,3559,469,1314,0,1189,1368,586,0,635,147,24122
36005003500,Census Tract 35; Bronx County; New York,3899,673,1598,0,1218,1357,469,359,453,76,34185
36005003700,Census Tract 37; Bronx County; New York,331,45,136,0,43,17,17,0,0,0,NA
36005003800,Census Tract 38; Bronx County; New York,1182,466,200,36,257,228,90,32,106,0,88077
36005003900,Census Tract 39; Bronx County; New York,6227,829,346,81,1720,1958,579,108,1027,244,20640
36005004001,Census Tract 40.01; Bronx County; New York,1409,205,194,343,310,366,213,6,119,28,70536
36005004100,Census Tract 41; Bronx County; New York,6583,1059,2710,56,1498,1641,679,28,339,595,27328
36005004200,Census Tract 42; Bronx County; New York,8179,1463,3678,22,2574,2388,1248,61,782,297,52423
36005004300,Census Tract 43; Bronx County; New York,5627,868,1742,0,1598,1776,731,154,745,146,34890
36005004400,Census Tract 44; Bronx County; New York,4592,445,1745,159,1242,1195,521,63,487,124,17319
36005004600,Census Tract 46; Bronx County; New York,1763,385,559,0,613,501,237,32,232,0,17083
36005004800,Census Tract 48; Bronx County; New York,4261,386,922,102,1189,1133,448,91,513,81,34436
36005005001,Census Tract 50.01; Bronx County; New York,4565,136,1517,114,1310,1223,584,31,533,75,34087
36005005002,Census Tract 50.02; Bronx County; New York,6466,197,1670,0,2117,1786,781,40,918,47,36598
36005005100,Census Tract 51; Bronx County; New York,6492,689,3433,0,2177,2205,1412,77,626,90,22850
36005005200,Census Tract 52; Bronx County; New York,1931,195,719,0,581,602,270,30,232,70,29657
36005005300,Census Tract 53; Bronx County; New York,5379,371,3115,0,2289,2383,907,516,930,30,26437
